timestamp,rank,field,key,estimated_frequency
2025-10-29T02:55:47+01:00,1,item_id,0,34722256
2025-10-29T02:55:47+01:00,2,item_id,1,12296051
2025-10-29T02:55:47+01:00,3,item_id,2,6688673
2025-10-29T02:55:47+01:00,4,item_id,3,4339519
2025-10-29T02:55:47+01:00,5,item_id,4,3119861
2025-10-29T02:55:47+01:00,1,item_id,0,34800837
2025-10-29T02:55:47+01:00,2,item_id,1,12324211
2025-10-29T02:55:47+01:00,3,item_id,2,6704249
2025-10-29T02:55:47+01:00,4,item_id,3,4349400
2025-10-29T02:55:47+01:00,5,item_id,4,3126865
2025-10-29T02:55:47+01:00,1,item_id,0,34876802
2025-10-29T02:55:47+01:00,2,item_id,1,12351376
2025-10-29T02:55:47+01:00,3,item_id,2,6719103
2025-10-29T02:55:47+01:00,4,item_id,3,4358940
2025-10-29T02:55:47+01:00,5,item_id,4,3133692
2025-10-29T02:55:47+01:00,1,item_id,0,34955574
2025-10-29T02:55:47+01:00,2,item_id,1,12379572
2025-10-29T02:55:47+01:00,3,item_id,2,6734626
2025-10-29T02:55:47+01:00,4,item_id,3,4368838
2025-10-29T02:55:47+01:00,5,item_id,4,3140740
2025-10-29T02:55:48+01:00,1,item_id,0,35034230
2025-10-29T02:55:48+01:00,2,item_id,1,12407673
2025-10-29T02:55:48+01:00,3,item_id,2,6750103
2025-10-29T02:55:48+01:00,4,item_id,3,4378641
2025-10-29T02:55:48+01:00,5,item_id,4,3147753
2025-10-29T02:55:48+01:00,1,item_id,0,35111403
2025-10-29T02:55:48+01:00,2,item_id,1,12435430
2025-10-29T02:55:48+01:00,3,item_id,2,6765421
2025-10-29T02:55:48+01:00,4,item_id,3,4388445
2025-10-29T02:55:48+01:00,5,item_id,4,3154656
2025-10-29T02:55:48+01:00,1,item_id,0,35196783
2025-10-29T02:55:48+01:00,2,item_id,1,12465976
2025-10-29T02:55:48+01:00,3,item_id,2,6782229
2025-10-29T02:55:48+01:00,4,item_id,3,4399167
2025-10-29T02:55:48+01:00,5,item_id,4,3162289
2025-10-29T02:55:48+01:00,1,item_id,0,35265980
2025-10-29T02:55:48+01:00,2,item_id,1,12490631
2025-10-29T02:55:48+01:00,3,item_id,2,6795671
2025-10-29T02:55:48+01:00,4,item_id,3,4407732
2025-10-29T02:55:48+01:00,5,item_id,4,3168517
2025-10-29T02:55:48+01:00,1,item_id,0,35343188
2025-10-29T02:55:48+01:00,2,item_id,1,12518348
2025-10-29T02:55:48+01:00,3,item_id,2,6810815
2025-10-29T02:55:48+01:00,4,item_id,3,4417511
2025-10-29T02:55:48+01:00,5,item_id,4,3175474
2025-10-29T02:55:48+01:00,1,item_id,0,35420723
2025-10-29T02:55:48+01:00,2,item_id,1,12545894
2025-10-29T02:55:48+01:00,3,item_id,2,6825927
2025-10-29T02:55:48+01:00,4,item_id,3,4427148
2025-10-29T02:55:48+01:00,5,item_id,4,3182436
2025-10-29T02:55:48+01:00,1,item_id,0,35499835
2025-10-29T02:55:48+01:00,2,item_id,1,12574152
2025-10-29T02:55:48+01:00,3,item_id,2,6841287
2025-10-29T02:55:48+01:00,4,item_id,3,4437054
2025-10-29T02:55:48+01:00,5,item_id,4,3189568
2025-10-29T02:55:48+01:00,1,item_id,0,35574623
2025-10-29T02:55:48+01:00,2,item_id,1,12600932
2025-10-29T02:55:48+01:00,3,item_id,2,6855825
2025-10-29T02:55:48+01:00,4,item_id,3,4446471
2025-10-29T02:55:48+01:00,5,item_id,4,3196314
2025-10-29T02:55:48+01:00,1,item_id,0,35652288
2025-10-29T02:55:48+01:00,2,item_id,1,12628635
2025-10-29T02:55:48+01:00,3,item_id,2,6870973
2025-10-29T02:55:48+01:00,4,item_id,3,4456154
2025-10-29T02:55:48+01:00,5,item_id,4,3203302
2025-10-29T02:55:48+01:00,1,item_id,0,35735199
2025-10-29T02:55:48+01:00,2,item_id,1,12658253
2025-10-29T02:55:48+01:00,3,item_id,2,6887176
2025-10-29T02:55:48+01:00,4,item_id,3,4466604
2025-10-29T02:55:48+01:00,5,item_id,4,3210762
2025-10-29T02:55:48+01:00,1,item_id,0,35812028
2025-10-29T02:55:48+01:00,2,item_id,1,12685582
2025-10-29T02:55:48+01:00,3,item_id,2,6902157
2025-10-29T02:55:48+01:00,4,item_id,3,4476108
2025-10-29T02:55:48+01:00,5,item_id,4,3217618
2025-10-29T02:55:48+01:00,1,item_id,0,35889531
2025-10-29T02:55:48+01:00,2,item_id,1,12713244
2025-10-29T02:55:48+01:00,3,item_id,2,6917194
2025-10-29T02:55:48+01:00,4,item_id,3,4485819
2025-10-29T02:55:48+01:00,5,item_id,4,3224614
2025-10-29T02:55:48+01:00,1,item_id,0,35967419
2025-10-29T02:55:48+01:00,2,item_id,1,12741103
2025-10-29T02:55:48+01:00,3,item_id,2,6932583
2025-10-29T02:55:48+01:00,4,item_id,3,4495607
2025-10-29T02:55:48+01:00,5,item_id,4,3231535
2025-10-29T02:55:48+01:00,1,item_id,0,36045181
2025-10-29T02:55:48+01:00,2,item_id,1,12768774
2025-10-29T02:55:48+01:00,3,item_id,2,6947643
2025-10-29T02:55:48+01:00,4,item_id,3,4505233
2025-10-29T02:55:48+01:00,5,item_id,4,3238506
2025-10-29T02:55:48+01:00,1,item_id,0,36120091
2025-10-29T02:55:48+01:00,2,item_id,1,12795563
2025-10-29T02:55:48+01:00,3,item_id,2,6962232
2025-10-29T02:55:48+01:00,4,item_id,3,4514717
2025-10-29T02:55:48+01:00,5,item_id,4,3245274
2025-10-29T02:55:48+01:00,1,item_id,0,36205129
2025-10-29T02:55:48+01:00,2,item_id,1,12825907
2025-10-29T02:55:48+01:00,3,item_id,2,6978767
2025-10-29T02:55:48+01:00,4,item_id,3,4525233
2025-10-29T02:55:48+01:00,5,item_id,4,3252870
2025-10-29T02:55:48+01:00,1,item_id,0,36280463
2025-10-29T02:55:48+01:00,2,item_id,1,12852716
2025-10-29T02:55:48+01:00,3,item_id,2,6993468
2025-10-29T02:55:48+01:00,4,item_id,3,4534664
2025-10-29T02:55:48+01:00,5,item_id,4,3259634
2025-10-29T02:55:48+01:00,1,item_id,0,36357874
2025-10-29T02:55:48+01:00,2,item_id,1,12880401
2025-10-29T02:55:48+01:00,3,item_id,2,7008762
2025-10-29T02:55:48+01:00,4,item_id,3,4544401
2025-10-29T02:55:48+01:00,5,item_id,4,3266513
2025-10-29T02:55:48+01:00,1,item_id,0,36438327
2025-10-29T02:55:48+01:00,2,item_id,1,12909113
2025-10-29T02:55:48+01:00,3,item_id,2,7024526
2025-10-29T02:55:48+01:00,4,item_id,3,4554419
2025-10-29T02:55:48+01:00,5,item_id,4,3273656
2025-10-29T02:55:48+01:00,1,item_id,0,36516132
2025-10-29T02:55:48+01:00,2,item_id,1,12936874
2025-10-29T02:55:48+01:00,3,item_id,2,7039798
2025-10-29T02:55:48+01:00,4,item_id,3,4564135
2025-10-29T02:55:48+01:00,5,item_id,4,3280579
2025-10-29T02:55:49+01:00,1,item_id,0,36598759
2025-10-29T02:55:49+01:00,2,item_id,1,12966310
2025-10-29T02:55:49+01:00,3,item_id,2,7056092
2025-10-29T02:55:49+01:00,4,item_id,3,4574367
2025-10-29T02:55:49+01:00,5,item_id,4,3287874
2025-10-29T02:55:49+01:00,1,item_id,0,36676732
2025-10-29T02:55:49+01:00,2,item_id,1,12994120
2025-10-29T02:55:49+01:00,3,item_id,2,7071333
2025-10-29T02:55:49+01:00,4,item_id,3,4584049
2025-10-29T02:55:49+01:00,5,item_id,4,3294775
2025-10-29T02:55:49+01:00,1,item_id,0,36754968
2025-10-29T02:55:49+01:00,2,item_id,1,13022031
2025-10-29T02:55:49+01:00,3,item_id,2,7086801
2025-10-29T02:55:49+01:00,4,item_id,3,4593832
2025-10-29T02:55:49+01:00,5,item_id,4,3301712
2025-10-29T02:55:49+01:00,1,item_id,0,36835130
2025-10-29T02:55:49+01:00,2,item_id,1,13050631
2025-10-29T02:55:49+01:00,3,item_id,2,7102491
2025-10-29T02:55:49+01:00,4,item_id,3,4603850
2025-10-29T02:55:49+01:00,5,item_id,4,3308825
2025-10-29T02:55:49+01:00,1,item_id,0,36914984
2025-10-29T02:55:49+01:00,2,item_id,1,13078893
2025-10-29T02:55:49+01:00,3,item_id,2,7118079
2025-10-29T02:55:49+01:00,4,item_id,3,4613820
2025-10-29T02:55:49+01:00,5,item_id,4,3315922
2025-10-29T02:55:49+01:00,1,item_id,0,36991901
2025-10-29T02:55:49+01:00,2,item_id,1,13106308
2025-10-29T02:55:49+01:00,3,item_id,2,7133233
2025-10-29T02:55:49+01:00,4,item_id,3,4623376
2025-10-29T02:55:49+01:00,5,item_id,4,3322713
2025-10-29T02:55:49+01:00,1,item_id,0,37072152
2025-10-29T02:55:49+01:00,2,item_id,1,13134718
2025-10-29T02:55:49+01:00,3,item_id,2,7148739
2025-10-29T02:55:49+01:00,4,item_id,3,4633466
2025-10-29T02:55:49+01:00,5,item_id,4,3329904
2025-10-29T02:55:49+01:00,1,item_id,0,37148239
2025-10-29T02:55:49+01:00,2,item_id,1,13161766
2025-10-29T02:55:49+01:00,3,item_id,2,7163726
2025-10-29T02:55:49+01:00,4,item_id,3,4642918
2025-10-29T02:55:49+01:00,5,item_id,4,3336631
2025-10-29T02:55:49+01:00,1,item_id,0,37228214
2025-10-29T02:55:49+01:00,2,item_id,1,13190285
2025-10-29T02:55:49+01:00,3,item_id,2,7179393
2025-10-29T02:55:49+01:00,4,item_id,3,4652919
2025-10-29T02:55:49+01:00,5,item_id,4,3343724
2025-10-29T02:55:49+01:00,1,item_id,0,37306672
2025-10-29T02:55:49+01:00,2,item_id,1,13218241
2025-10-29T02:55:49+01:00,3,item_id,2,7194852
2025-10-29T02:55:49+01:00,4,item_id,3,4662693
2025-10-29T02:55:49+01:00,5,item_id,4,3350640
2025-10-29T02:55:49+01:00,1,item_id,0,37385898
2025-10-29T02:55:49+01:00,2,item_id,1,13246389
2025-10-29T02:55:49+01:00,3,item_id,2,7210362
2025-10-29T02:55:49+01:00,4,item_id,3,4672577
2025-10-29T02:55:49+01:00,5,item_id,4,3357673
2025-10-29T02:55:49+01:00,1,item_id,0,37467834
2025-10-29T02:55:49+01:00,2,item_id,1,13275354
